datetime	price	type	latitude_to	longitude_to	latitude_from	longitude_from	label_from	label_trend
01.06.2014 16:17	290	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262132516734 	DoWD
01.06.2014 18:06	277.51	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262148907569 	DoWD
02.06.2014 14:20	859.5	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262148915217 	DoWD
04.06.2014 11:52	651.46	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262153427863 	DoWD
05.06.2014 19:42	510	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262146622764 	DoWD
06.06.2014 10:27	277.51	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262148906916 	DoWD
06.06.2014 15:58	651.46	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262153584785 	DoWD
08.06.2014 20:45	510	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262146622072 	DoWD
09.06.2014 19:32	768.5	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262119155433 	DoWD
09.06.2014 20:07	145.01	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262160776874 	DoWD
11.06.2014 19:22	240.96	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262160475308 	DoWD
12.06.2014 11:05	324	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262101060214 	DoWD
12.06.2014 17:02	239.01	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262100783634 	DoWD
12.06.2014 17:17	645.01	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262104665232 	DoWD
12.06.2014 17:30	-324	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262101061247 	DoWD
12.06.2014 18:00	324	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262101061247 	DoWD
12.06.2014 18:21	81.01	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262101063125 	DoWD
12.06.2014 18:29	-497.99	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262104596248 	DoWD
12.06.2014 20:24	515	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262104663205 	DoWD
12.06.2014 21:06	497.99	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262104594105 	DoWD
12.06.2014 21:44	290	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262100788054 	DoWD
13.06.2014 21:36	497.99	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262104596248 	DoWD
